福康安,https://www.baike.com/wiki/福康安,//p1-bk.byteimg.com/tos-cn-i-mlhdmxsy5m/16bc09aff693481195b9b8a34c2dfcba~tplv-mlhdmxsy5m-q75:0:0.image,福康安1754年—1796年7月2日，富察氏，字瑶林，号敬斋，满洲镶黄旗人，清朝乾隆年间名将、大臣。大学士傅恒第三子，孝贤纯皇后之侄。福康安历任云贵、四川、闽浙、两广总督，官至武英殿大学士兼军机大臣。福康安早年参加第二次金川之战。他先后率军平定甘肃回民田五起事、台湾林爽文事件、廓尔喀之役、苗疆起事，维护了国家的主权和领土统一和完整，累封一等嘉勇忠锐公。此外，他还参加制定《钦定藏内善后章程》和金瓶掣签制度，对于巩固清朝中央与西藏地方的政治关系，维护祖国的统一，加强民族团结等方面起着重大的作用。嘉庆元年（1796年）二月，赐福康安贝子，同年五月去世，追封嘉勇郡王，谥号文襄，配享太庙，入祀昭忠祠与贤
同胚,https://www.baike.com/wiki/同胚,,在拓扑学中，两个流形，如果可以通过弯曲、延展、剪切(只要最终完全沿着当初剪开的缝隙再重新粘贴起来)等操作把其中一个变为另一个，则认为两者是同胚的。同胚映射在由全部拓扑空间所构成的范畴中表示为箭头。当存在X到Y的同胚映射时，称X与Y同胚。映射f及其逆映射f^-1:V-&gt; U皆为连续。此时f被称为这两个拓扑空间的同胚映射。
记住,https://www.baike.com/wiki/记住,//p1-bk.byteimg.com/tos-cn-i-mlhdmxsy5m/0de6377b95f6492ab7a67641e7c78c02~tplv-mlhdmxsy5m-q75:0:0.image,《记住》由凯传作词，伍嘉冀作曲，1993年中央电视台六一晚会上蔡国庆演唱，此版本歌词与之后收录于专辑中的稍有不同。
走出非洲,https://www.baike.com/wiki/走出非洲,//p9-bk.byteimg.com/tos-cn-i-mlhdmxsy5m/71536d137bd5481c9c9c4198a9505a6b~tplv-mlhdmxsy5m-q75:0:0.image,《走出非洲》是环球影业出品的爱情片，由西德尼·波拉克执导，梅丽尔·斯特里普，罗伯特·雷德福等主演。1985年12月10日，该片在美国上映。该片改编自卡伦·布里克森的同名自传体小说，讲述了凯伦为了得到一个男爵夫人的称号而远嫁肯尼亚，后来她跟英国探险家邓尼斯产生感情的故事。1986年，影片获得第58届奥斯卡最佳影片、第43届美国金球奖剧情类最佳影片等奖项。
阿尔伯特亲王,https://www.baike.com/wiki/阿尔伯特亲王,//p6-bk.byteimg.com/tos-cn-i-mlhdmxsy5m/e636523ff1a34d1d8b8dbe209a0fde02~tplv-mlhdmxsy5m-q75:0:0.image,阿尔伯特亲王(1819年8月26日 - 1861年12月14日) Prince Albert 维多利亚女王的表弟和丈夫，一个统治英国20年而没有名分的国王，他的出现和死亡如流星划过黑暗的夜空一样，改变着英国和欧洲王室的轨迹。女王在他死后，每遇到困难，总是说，阿尔伯特要是还在他会怎么做，他会做出什么决定。阿尔伯特的出生地萨克森-科堡-萨尔费尔德公国与欧洲诸多王室有姻亲关系。在其20岁时，与表姐维多利亚成婚，婚后育有九个孩子。最初，阿尔伯特深受限制，其身份仅是女王的配偶，而没有其他相应的权力或职责。随着时间推移，他吸取了诸多民众诉求，例如实行教育改革、全球范围内推行废奴运动、管理宗室事务和女王办公
长期目标,https://www.baike.com/wiki/长期目标,//p3-bk.byteimg.com/tos-cn-i-mlhdmxsy5m/3562359f0ab0489ab292b4a4407c47d8~tplv-mlhdmxsy5m-q75:0:0.image,长期目标是指五年以上的目标，它是指企业通过实施特定战略所期望的结果。
鲁庄公,https://www.baike.com/wiki/鲁庄公,//p1-bk.byteimg.com/tos-cn-i-mlhdmxsy5m/2e792f85cc9c4174893fce161d8b06ea~tplv-mlhdmxsy5m-q75:0:0.image,鲁庄公（前706年―前662年），姬姓，名同，为春秋诸侯鲁国第十六任君主。他为鲁桓公的儿子，承袭鲁桓公担任该国君主，在位32年（公元前693年－前662年）。
解压缩,https://www.baike.com/wiki/解压缩,//p3-bk.byteimg.com/tos-cn-i-mlhdmxsy5m/81cee79d1bab4619a552df53e98ef939~tplv-mlhdmxsy5m-q75:0:0.image,解压缩（Decompression）是压缩的反过程，是将一个通过软件压缩的文档、文件等各种东西恢复到压缩之前的样子。解压文件的方法是：右击图标-解压文件-确定（前提为安装过相关解压软件并关联过右键菜单），解压完成以后就会在压缩文件所在目录出现一个新的文件，这个文件就是你解压出来的文件，但其也有可能不是一个文件，是由多个文件组成的东西。
网络人,https://www.baike.com/wiki/网络人,//p3-bk.byteimg.com/tos-cn-i-mlhdmxsy5m/809d5ed8d45d49dbb1e6bd7c42323a61~tplv-mlhdmxsy5m-q75:0:0.image,网络人，全称南宁网络人电脑公司，于2008年组建成立，公司地点位于广西南宁市衡阳西路31号百万庄7楼D座。南宁网络人电脑公司是一家集软件开发、销售、软硬件相结合的综合性公司，公司主营产品为远程控制软件，远程办公软件，远程监控软件，远程监控摄像头，远程开关机卡等。
高温等离子体,https://www.baike.com/wiki/高温等离子体,,高温等离子体是指重粒子和电子的温度都很高，而且几乎相等的等离子体。
